"Ano","Municipio_COD-IBGE","Municipio_Nome","UF","Quantidade_Acidentes_com_CAT_Tipicos","Quantidade_Acidentes_com_CAT_Trajeto"	,"Quantidade_Acidentes_com_CAT_Doenca_Profissional","Quantidade_Obitos","Quantidade_Acidentes_Sem_CAT"
2002,110000,"IGNORADO RONDONIA","RO",22,0,1,3,0
2002,110001,"ALTA FLORESTA D OESTE","RO",10,1,0,0,0
2002,110002,"ARIQUEMES","RO",142,13,1,3,0
2002,110003,"CABIXI","RO",12,0,0,0,0
2002,110004,"CACOAL","RO",153,29,5,2,0
2002,110005,"CEREJEIRAS","RO",40,3,2,0,0
2002,110006,"COLORADO DO OESTE","RO",31,3,2,2,0
2002,110007,"CORUMBIARA","RO",14,1,0,0,0
2002,110008,"COSTA MARQUES","RO",0,0,0,0,0
2002,110009,"ESPIGAO D OESTE","RO",46,4,1,0,0
2002,110010,"GUAJARA-MIRIM","RO",6,3,0,1,0
2002,110011,"JARU","RO",100,24,1,2,0
2002,110012,"JI-PARANA","RO",224,38,14,3,0
2002,110013,"MACHADINHO D OESTE","RO",8,0,0,1,0
2002,110014,"NOVA BRASILANDIA D OESTE","RO",6,0,0,0,0
2002,110015,"OURO PRETO DO OESTE","RO",31,4,1,1,0
2002,110018,"PIMENTA BUENO","RO",57,7,0,0,0
2002,110020,"PORTO VELHO","RO",344,76,22,9,0
2002,110025,"PRESIDENTE MEDICI","RO",28,1,1,0,0
2002,110026,"RIO CRESPO","RO",2,0,0,0,0
2002,110028,"ROLIM DE MOURA","RO",35,14,0,3,0
2002,110029,"SANTA LUZIA D OESTE","RO",6,2,0,1,0
2002,110030,"VILHENA","RO",160,26,17,2,0
2002,110032,"SAO MIGUEL DO GUAPORE","RO",10,1,0,0,0
2002,110033,"NOVA MAMORE","RO",9,1,0,0,0
2002,110034,"ALVORADA D OESTE","RO",14,0,0,0,0
2002,110037,"ALTO ALEGRE DOS PARECIS","RO",3,0,0,0,0
2002,110040,"ALTO PARAISO","RO",10,0,0,0,0
2002,110045,"BURITIS","RO",24,1,0,1,0
2002,110050,"NOVO HORIZONTE DO OESTE","RO",1,0,0,0,0
2002,110060,"CACAULANDIA","RO",1,0,0,0,0
2002,110070,"CAMPO NOVO DE RONDONIA","RO",5,0,0,0,0
2002,110080,"CANDEIAS DO JAMARI","RO",5,0,0,0,0
2002,110090,"CASTANHEIRAS","RO",4,0,0,0,0
2002,110092,"CHUPINGUAIA","RO",7,0,0,0,0
2002,110094,"CUJUBIM","RO",6,0,0,0,0
2002,110100,"GOVERNADOR JORGE TEIXEIRA","RO",2,0,0,0,0
2002,110110,"ITAPUA DO OESTE","RO",5,1,0,0,0
2002,110120,"MINISTRO ANDREAZZA","RO",15,2,0,0,0
2002,110130,"MIRANTE DA SERRA","RO",4,1,0,0,0
2002,110140,"MONTE NEGRO","RO",8,0,0,0,0
2002,110145,"PARECIS","RO",3,0,0,0,0
2002,110146,"PIMENTEIRAS DO OESTE","RO",0,0,0,0,0
2002,110147,"PRIMAVERA DE RONDONIA","RO",1,0,0,0,0
2002,110148,"SAO FELIPE D OESTE","RO",4,1,0,0,0
2002,110149,"SAO FRANCISCO DO GUAPORE","RO",16,2,0,0,0
2002,110150,"SERINGUEIRAS","RO",16,3,0,0,0
2002,110155,"TEIXEIROPOLIS","RO",0,0,0,0,0
2002,110160,"THEOBROMA","RO",8,1,0,0,0
2002,110170,"URUPA","RO",2,0,0,0,0
2002,110175,"VALE DO ANARI","RO",2,0,0,0,0
2002,110180,"VALE DO PARAISO","RO",3,0,0,0,0
2002,120000,"IGNORADO ACRE","AC",8,1,1,1,0
2002,120001,"ACRELANDIA","AC",4,0,0,0,0
2002,120010,"BRASILEIA","AC",2,0,0,0,0
2002,120013,"BUJARI","AC",2,0,0,0,0
2002,120017,"CAPIXABA","AC",0,0,0,0,0
2002,120020,"CRUZEIRO DO SUL","AC",4,2,0,0,0
