"Ano","Municipio_COD-IBGE","Municipio_Nome","UF","Quantidade_Acidentes_com_CAT_Tipicos","Quantidade_Acidentes_com_CAT_Trajeto","Quantidade_Acidentes_com_CAT_Doenca_Profissional","Quantidade_Obitos","Quantidade_Acidentes_Sem_CAT"
2008,110000,"IGNORADO RONDONIA","RO",1,7,0,0,57
2008,110001,"ALTA FLORESTA D OESTE","RO",21,5,0,0,0
2008,110002,"ARIQUEMES","RO",123,29,8,2,125
2008,110003,"CABIXI","RO",3,2,0,0,0
2008,110004,"CACOAL","RO",210,44,7,2,299
2008,110005,"CEREJEIRAS","RO",8,4,0,0,0
2008,110006,"COLORADO DO OESTE","RO",16,7,1,0,80
2008,110007,"CORUMBIARA","RO",17,4,0,0,0
2008,110008,"COSTA MARQUES","RO",6,0,0,0,0
2008,110009,"ESPIGAO D OESTE","RO",73,7,0,3,0
2008,110010,"GUAJARA-MIRIM","RO",7,3,1,0,32
2008,110011,"JARU","RO",50,9,2,0,84
2008,110012,"JI-PARANA","RO",252,62,6,3,232
2008,110013,"MACHADINHO D OESTE","RO",21,8,0,0,0
2008,110014,"NOVA BRASILANDIA D OESTE","RO",13,0,0,0,0
2008,110015,"OURO PRETO DO OESTE","RO",25,19,0,4,179
2008,110018,"PIMENTA BUENO","RO",86,10,3,1,156
2008,110020,"PORTO VELHO","RO",531,169,68,10,362
2008,110025,"PRESIDENTE MEDICI","RO",8,4,0,0,0
2008,110026,"RIO CRESPO","RO",1,0,0,0,0
2008,110028,"ROLIM DE MOURA","RO",199,31,1,0,236
2008,110029,"SANTA LUZIA D OESTE","RO",20,0,0,1,0
2008,110030,"VILHENA","RO",162,59,29,1,153
2008,110032,"SAO MIGUEL DO GUAPORE","RO",2,1,0,0,0
2008,110033,"NOVA MAMORE","RO",5,1,1,0,0
2008,110034,"ALVORADA D OESTE","RO",4,0,0,0,0
2008,110037,"ALTO ALEGRE DOS PARECIS","RO",3,0,2,0,0
2008,110040,"ALTO PARAISO","RO",15,0,1,2,0
2008,110045,"BURITIS","RO",24,6,3,0,0
2008,110050,"NOVO HORIZONTE DO OESTE","RO",8,0,0,0,0
2008,110060,"CACAULANDIA","RO",2,1,0,0,0
2008,110070,"CAMPO NOVO DE RONDONIA","RO",5,0,0,0,0
